PARK,BOROUGH,SIZE (ACRES),CATEGORY,Murder,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
ROCKAWAY FREEWAY,QUEENS       ,9.404,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BICENTENNIAL VETERANS MEMORIAL PARK,BRONX        ,9.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SUNSET COVE PARK,QUEENS       ,9.375,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ST. JOHN'S RECREATION CENTER,BROOKLYN     ,9.339,ONE ACRE OR LARGER,0,0,1,0,0,1,0,2
LINDEN PARK,BROOKLYN     ,9.322,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAFFEN PARK,BRONX        ,9.238,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLISON POND PARK,STATEN ISLAND,9.200,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GRANITEVILLE SWAMP PARK,STATEN ISLAND,9.187,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TOTTENVILLE SHORE PARK,STATEN ISLAND,9.181,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CAPTAIN TILLY PARK,QUEENS       ,9.160,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2
HARVEY PARK,QUEENS       ,9.154,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MSGR. MCGOLRICK PARK,BROOKLYN     ,9.134,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BUSHWICK INLET PARK,BROOKLYN     ,9.010,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HENRY HUDSON PARK,BRONX        ,8.972,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
FRANK PRINCIPE PARK,QUEENS       ,8.899,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CASTLE HILL PARK,BRONX        ,8.834,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROCHDALE PARK,QUEENS       ,8.833,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ABE STARK SKATING RINK,BROOKLYN     ,8.807,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CITY HALL PARK,MANHATTAN    ,8.800,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EAST RIVER WATERFRONT ESPLANADE,MANHATTAN    ,8.761,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CROTONA PARKWAY MALLS,BRONX        ,8.750,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CONEY ISLAND CREEK PARK,BROOKLYN     ,8.663,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MILL ROCK PARK,MANHATTAN    ,8.639,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,MANHATTAN    ,8.595,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
JOHN J CARTY PARK,BROOKLYN     ,8.565,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COFFEY PARK,BROOKLYN     ,8.271,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
BARRETT PARK,STATEN ISLAND,8.108,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RAINEY PARK QUEENS,QUEENS       ,8.090,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LAGUARDIA LANDING LIGHTS,QUEENS       ,8.030,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CITY ISLAND WETLANDS,BRONX        ,8.005,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SARA D. ROOSEVELT PARK,MANHATTAN    ,7.850,ONE ACRE OR LARGER,0,0,0,0,0,3,0,3
EWEN PARK,BRONX        ,7.840,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HERBERT VON KING PARK,BROOKLYN     ,7.819,ONE ACRE OR LARGER,0,0,1,0,0,1,0,2
MOUNT PROSPECT PARK,BROOKLYN     ,7.790,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RAINEY PARK BRONX,BRONX        ,7.738,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DETECTIVE KEITH L WILLIAMS PARK,QUEENS       ,7.683,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FLUSHING FIELDS,QUEENS       ,7.671,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PALMER INLET,BRONX        ,7.490,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MIDLAND FIELD,STATEN ISLAND,7.463,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SCHMUL PARK,STATEN ISLAND,7.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRIDGE PARK BRONX,BRONX        ,7.156,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BEACH 30TH STREET PLAYGROUND,QUEENS       ,7.122,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BROWER PARK,BROOKLYN     ,7.047,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JOYCE KILMER PARK,BRONX        ,6.882,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
MARIA HERNANDEZ PARK,BROOKLYN     ,6.873,ONE ACRE OR LARGER,0,0,0,2,0,1,0,3
THE HIGH LINE,MANHATTAN    ,6.730,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRIENDS FIELD,BROOKLYN     ,6.700,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LINDOWER PARK,BROOKLYN     ,6.700,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
J. HOOD WRIGHT PARK,MANHATTAN    ,6.699,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WNYC TRANSMITTER PARK,BROOKLYN     ,6.611,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SPUYTEN DUYVIL SHOREFRONT PARK,BRONX        ,6.600,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PARK AVENUE MALLS,MANHATTAN    ,6.593,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WESTWOOD PARK,STATEN ISLAND,6.563,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNION SQUARE PARK,MANHATTAN    ,6.510,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
CONCRETE PLANT PARK,BRONX        ,6.438,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
COL. YOUNG PLAYGROUND,MANHATTAN    ,6.423,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRADYS POND PARK,STATEN ISLAND,6.402,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COOPER PARK,BROOKLYN     ,6.401,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
GRAVESEND PARK,BROOKLYN     ,6.379,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DR. CHARLES R. DREW PARK,QUEENS       ,6.336,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TRINITY PARK,BROOKLYN     ,6.300,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MADISON SQUARE PARK,MANHATTAN    ,6.234,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ELMHURST PARK,QUEENS       ,6.219,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
FORT HAMILTON ATHLETIC FIELD,BROOKLYN     ,6.194,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
AMBROSINI FIELD,BRONX        ,6.100,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CLEARVIEW PARK,QUEENS       ,6.050,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RALPH DEMARCO PARK,QUEENS       ,6.030,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WINGATE PARK,BROOKLYN     ,5.888,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON DRUMGOOLE ROAD & HUGUENOT AVENUE,STATEN ISLAND,5.848,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DE WITT CLINTON PARK,MANHATTAN    ,5.829,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON BOUNDARY AVENUE,STATEN ISLAND,5.765,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VAN VOORHEES PARK,BROOKLYN     ,5.739,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HALLETS COVE PLAYGROUND,QUEENS       ,5.700,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MCKINLEY PARK,BROOKLYN     ,5.655,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SOUTHERN FIELDS,QUEENS       ,5.593,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DEVOE PARK,BRONX        ,5.440,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ST. MICHAEL'S PLAYGROUND,QUEENS       ,5.430,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KENNEDY PLAYGROUND,QUEENS       ,5.400,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MAFERA PARK,QUEENS       ,5.400,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SEAGIRT AVE WETLANDS,QUEENS       ,5.323,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JOHN PAUL JONES PARK,BROOKLYN     ,5.317,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WALKER PARK,STATEN ISLAND,5.278,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OLD PLACE CREEK PARK,STATEN ISLAND,5.233,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOOVER - MANTON PLAYGROUNDS,QUEENS       ,5.200,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GEN. DOUGLAS MACARTHUR PARK,STATEN ISLAND,5.165,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GROVER CLEVELAND PLAYGROUND,QUEENS       ,5.100,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POLICE OFFICER EDWARD BYRNE PARK,QUEENS       ,4.966,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CYPRESS HILLS PLAYGROUND,BROOKLYN     ,4.947,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SETH LOW PLAYGROUND/ BEALIN SQUARE,BROOKLYN     ,4.945,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KELLY PARK,BROOKLYN     ,4.896,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SOCRATES SCULPTURE PARK,QUEENS       ,4.893,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BEACH 9 PLAYGROUND,QUEENS       ,4.863,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SOUTH BEACH WETLANDS,STATEN ISLAND,4.794,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NAPLES PLAYGROUND,STATEN ISLAND,4.784,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RAOUL WALLENBERG FOREST,BRONX        ,4.730,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WEST HARLEM PIERS,MANHATTAN    ,4.712,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SPORTS PARK,STATEN ISLAND,4.647,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WASHINGTON'S WALK,BRONX        ,4.637,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CAMBRIA PLAYGROUND,QUEENS       ,4.635,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARCONI PARK,QUEENS       ,4.635,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VALENTINO PIER,BROOKLYN     ,4.525,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GRANITEVILLE QUARRY PARK,STATEN ISLAND,4.465,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MONTBELLIER PARK,QUEENS       ,4.427,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
QUARRY BALLFIELDS,BRONX        ,4.417,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RICHMAN (ECHO) PARK,BRONX        ,4.385,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JEROME PARK,BRONX        ,4.359,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CORLEARS HOOK PARK,MANHATTAN    ,4.355,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
"PHIL ""SCOOTER"" RIZZUTO PARK",QUEENS       ,4.353,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ASPHALT GREEN,MANHATTAN    ,4.350,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FABER POOL AND PARK,STATEN ISLAND,4.339,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MACHATE CIRCLE,BROOKLYN     ,4.320,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAMILTON FISH PARK,MANHATTAN    ,4.300,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TIFFANY STREET PIER,BRONX        ,4.231,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KINGDOM POND PARK,STATEN ISLAND,4.220,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COLUMBUS PARK BROOKLYN,BROOKLYN     ,4.140,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STAPLETON PLAYGROUND,STATEN ISLAND,4.096,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STERNBERG PARK,BROOKLYN     ,4.044,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
COLUCCI PLAYGROUND,BRONX        ,4.000,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NORTHERLEIGH PARK,STATEN ISLAND,3.955,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STUYVESANT SQUARE,MANHATTAN    ,3.928,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LAST CHANCE POND PARK,STATEN ISLAND,3.903,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CHELSEA PARK,MANHATTAN    ,3.900,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FORDHAM LANDING PLAYGROUND,BRONX        ,3.900,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NORTH 5TH STREET PIER AND PARK,BROOKLYN     ,3.882,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAGGERTY PARK,QUEENS       ,3.867,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JACOB H. SCHIFF PLAYGROUND,MANHATTAN    ,3.852,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GRANT PARK,BRONX        ,3.850,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EAST ELMHURST PLAYGROUND,QUEENS       ,3.827,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JOSEPH AUSTIN PLAYGROUND,QUEENS       ,3.814,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON ROCKAWAY BOARDWALK & CREST ROAD,QUEENS       ,3.809,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LINCOLN CENTER PLAZA,MANHATTAN    ,3.800,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
INGRAM WOODS,STATEN ISLAND,3.770,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FARM PLAYGROUND,QUEENS       ,3.757,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HINTON PARK,QUEENS       ,3.735,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LOUIS PASTEUR PARK,QUEENS       ,3.673,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WHITEY FORD FIELD,QUEENS       ,3.622,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POMONOK PLAYGROUND,QUEENS       ,3.596,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CLAWSON PLAYGROUND,STATEN ISLAND,3.593,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BENNETT REST,MANHATTAN    ,3.567,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GOVERNOR SMITH PLAYGROUND,BRONX        ,3.564,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PAERDEGAT PARK,BROOKLYN     ,3.560,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
AMERSFORT PARK,BROOKLYN     ,3.557,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CITY LINE PARK,BROOKLYN     ,3.552,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
BAILEY PLAYGROUND,BRONX        ,3.533,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NAUTILUS PLAYGROUND QUEENS,QUEENS       ,3.520,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VINMONT VETERAN PARK,BRONX        ,3.500,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MCDONALD PLAYGROUND BROOKLYN,BROOKLYN     ,3.485,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
THE OLDE TOWNE OF FLUSHING BURIAL GROUND,QUEENS       ,3.474,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WEGENER PARK,STATEN ISLAND,3.464,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 89TH TO OLD BEACH 88TH STREET,QUEENS       ,3.430,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JULIO CARBALLO FIELDS,BRONX        ,3.428,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GRADY PLAYGROUND,BROOKLYN     ,3.403,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2
BREININGER PARK,QUEENS       ,3.400,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CO-OP CITY FIELD,BRONX        ,3.400,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ST. MICHAEL'S PARK,QUEENS       ,3.400,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GREENWOOD PLAYGROUND,BROOKLYN     ,3.390,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ST. ANDREW'S PLAYGROUND,BROOKLYN     ,3.380,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
SEWARD PARK,MANHATTAN    ,3.361,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
BEHAGEN PLAYGROUND,BRONX        ,3.348,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DUGAN PLAYGROUND,STATEN ISLAND,3.333,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EVERGREEN PARK,QUEENS       ,3.320,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JOHN JAY PARK,MANHATTAN    ,3.312,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNIVERSITY WOODS,BRONX        ,3.306,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WATSON GLEASON PLAYGROUND,BRONX        ,3.301,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TOTTENVILLE POOL,STATEN ISLAND,3.259,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VITO LOCASCIO FIELD,QUEENS       ,3.258,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CALLAHAN-KELLY PLAYGROUND,BROOKLYN     ,3.253,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JUDGE MOSES WEINSTEIN PLAYGROUND,QUEENS       ,3.250,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COLUMBUS PARK AT MANHATTAN,MANHATTAN    ,3.233,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
GREENCROFT PLAYGROUND,STATEN ISLAND,3.230,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BILL BROWN PLAYGROUND,BROOKLYN     ,3.214,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
